measurement_id,oligo_id,study_type,species,subject_class,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,nephrotox_grade,is_kidney_specific,source_id,source_ref,source_table,redistribution,notes
MSR144,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,3,uM,3_days,injury_biomarker,extracellular_EGF,71,pct_saline_control,decrease,0.71x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_4;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR145,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,10,uM,3_days,injury_biomarker,extracellular_EGF,116,pct_saline_control,increase,1.16x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_5;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR146,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,30,uM,3_days,injury_biomarker,extracellular_EGF,302,pct_saline_control,increase,3.02x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_9;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR147,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,100,uM,3_days,injury_biomarker,extracellular_EGF,1572,pct_saline_control,increase,15.72x,3,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_4;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR148,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,37,pct_saline_control,decrease,0.37x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_3;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR149,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,222,pct_saline_control,increase,2.22x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_28;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR150,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,8398,pct_saline_control,increase,83.98x,3,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_25;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR151,OLG048,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,8899,pct_saline_control,increase,88.99x,3,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_612;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR152,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,3_days,injury_biomarker,extracellular_EGF,198,pct_saline_control,increase,1.98x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_25;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR153,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,3_days,injury_biomarker,extracellular_EGF,323,pct_saline_control,increase,3.23x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_67;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
