compound,meddra_pt,n_reports_drug_and_event,drug_total_faers_reports,background_event_reports_all_drugs,faers_grand_total,PRR,chi2_yates,signal_flag_a3_prr2_chi4,exact_openfda_query
inclisiran_LEQVIO,FIBRIN D DIMER INCREASED,1,7295,3516,20692690,0.81,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
inclisiran_LEQVIO,HAEMORRHAGE,29,7295,103173,20692690,0.8,1.3,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
nusinersen,FIBRIN D DIMER INCREASED,1,7655,3516,20692690,0.77,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
defibrotide,INTERNATIONAL NORMALISED RATIO INCREASED,3,3546,28414,20692690,0.62,0.4,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
patisiran,DISSEMINATED INTRAVASCULAR COAGULATION,1,2810,13950,20692690,0.53,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""patisiran""+AND+patient.reaction.reactionmeddrapt.exact:""DISSEMINATED INTRAVASCULAR COAGULATION""&limit=1"
pegaptanib_MACUGEN,HAEMORRHAGE,1,403,103173,20692690,0.5,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""MACUGEN""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
nusinersen,HAEMORRHAGE,14,7655,103173,20692690,0.37,14.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
inclisiran_LEQVIO,COAGULOPATHY,2,7295,16396,20692690,0.35,1.9,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULOPATHY""&limit=1"
vutrisiran,HAEMORRHAGE,3,2532,103173,20692690,0.24,6.6,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""vutrisiran""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
patisiran,HAEMORRHAGE,3,2810,103173,20692690,0.21,7.9,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""patisiran""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
inclisiran_LEQVIO,DISSEMINATED INTRAVASCULAR COAGULATION,1,7295,13950,20692690,0.2,2.4,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""DISSEMINATED INTRAVASCULAR COAGULATION""&limit=1"
eteplirsen,HAEMORRHAGE,2,2391,103173,20692690,0.17,7.5,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""eteplirsen""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
inclisiran_LEQVIO,INTERNATIONAL NORMALISED RATIO INCREASED,1,7295,28414,20692690,0.1,7.3,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
