nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00460408,Macugen and Other AMD Drugs,pegaptanib,exposed,0,7,0,0,0,0,none,0,intravitreal,0,Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00477594,Mipomersen 200 mg Every Other Week,mipomersen,exposed,0,5,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyper",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00477594,Mipomersen 200 mg Per Week,mipomersen,exposed,0,16,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hypercholesterolemia, Autosomal Dominant; Hyper",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00549055,Macugen,pegaptanib,exposed,0,38,0,0,0,0,none,0,intravitreal,0,Neovascular Age-related Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00574951,AMG 706,imetelstat,exposed,0,22,0,0,0,0,none,0,NOT_REPORTED,0,Fallopian Tube Cancer; Ovarian Cancer; Primary Peritoneal Cavity Cancer,other,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00605280,0.003 mg Pegaptanib Sodium,pegaptanib,exposed,0,7,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00605280,0.03 mg Pegaptanib Sodium,pegaptanib,exposed,0,22,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00605280,0.3 mg Pegaptanib Sodium,pegaptanib,exposed,0,174,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00605280,0.3 mg Pegaptanib Sodium (Year 3),pegaptanib,exposed,0,46,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00605280,Sham,placebo_or_sham_control,comparator,1,143,0,0,0,0,none,0,intravitreal,0,Macular Edema Associated With Diabetes Mellitus,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
