nct_id,drug,route,route_evidence,has_adverse_event_module,overall_status,brief_title,conditions,interventions,excluded_reason
NCT03400800,inclisiran,subcutaneous,"(mg) (equivalent to 284 mg inclisiran) in 1.5 milliliters (mL) will be administered as a SC injection on Day 1, Day 90, and then every 6 months. Placebo (1.5 mL) will be administere",TRUE,COMPLETED,Inclisiran for Subjects With ASCVD or ASCVD-Risk Equivalents and Elevated Low-density Lipoprotein Cholesterol,"ASCVD; Risk Factor, Cardiovascular; Elevated Cholesterol",Inclisiran Sodium Placebo,
NCT03417102,fitusiran,subcutaneous,fitusiran solution for injection; by subcutaneous (SC) injection Bypassing agents solution for injection; by intravenous (IV) injection Par,TRUE,COMPLETED,A Study of Fitusiran (ALN-AT3SC) in Severe Hemophilia A and B Patients With Inhibitors,Hemophilia A; Hemophilia B,fitusiran Bypassing agents,
NCT03417245,fitusiran,subcutaneous,fitusiran by SC injection factor concentrates by intravenous (IV) injection Participants received on-dema,TRUE,COMPLETED,A Study of Fitusiran (ALN-AT3SC) in Severe Hemophilia A and B Patients Without Inhibitors,Hemophilia A; Hemophilia B,fitusiran factor concentrates,
NCT03532542,casimersen; golodirsen,intravenous,Casimersen Casimersen solution for IV infusion Golodirsen Golodirsen solution for IV infusion Patients amenable to exon 45 skip,TRUE,TERMINATED,An Extension Study to Evaluate Casimersen or Golodirsen in Patients With Duchenne Muscular Dystrophy,Duchenne Muscular Dystrophy,Casimersen Golodirsen,
NCT03549871,fitusiran,subcutaneous,Fitusiran Pharmaceutical form: solution for injection Route of administration: subcutaneous BPA prophylaxis Pharmaceutical form: solution for injection Route of administration: Intr,TRUE,COMPLETED,A Study of Fitusiran in Severe Hemophilia A and B Patients Previously Receiving Factor or Bypassing Agent Prophylaxis,Hemophilia,Fitusiran BPA prophylaxis Factor (FVIII or FIX) prophylaxis,
NCT03681184,lumasiran,subcutaneous,Placebo Placebo by SC injection Lumasiran Lumasiran by SC injection Lumasiran-matching placebo (normal saline \,TRUE,COMPLETED,A Study to Evaluate Lumasiran in Children and Adults With Primary Hyperoxaluria Type 1,Primary Hyperoxaluria Type 1 (PH1),Placebo Lumasiran,
NCT03728634,eplontersen,subcutaneous,ION-682884 ION-682884 administered SC Placebo Placebo comparator calculated volume to match ION-682884 administered SC Vitamin,TRUE,COMPLETED,"Evaluate the Safety and Tolerability, as Well as the Pharmacokinetic and Pharmacodynamic Profiles of Single and Multiple Doses of Eplontersen Administered Subcutaneously to Healthy",Healthy Volunteers; hATTR Amyloidosis,ION-682884 Placebo Vitamin A,
NCT03759379,patisiran; vutrisiran,subcutaneous,isiran will be administered by IV infusion. Vutrisiran Vutrisiran will be administered by SC injection. Participants will receive vutrisiran 25 mg subcutaneous (SC) injection once ev,TRUE,COMPLETED,HELIOS-A: A Study of Vutrisiran (ALN-TTRSC02) in Patients With Hereditary Transthyretin Amyloidosis (hATTR Amyloidosis),"Amyloidosis, Hereditary; Transthyretin Amyloidosis",Patisiran Vutrisiran,
NCT03761849,tominersen,intrathecal_lumbar,RO7234292 Intrathecal injection Placebo Intrathecal injection RO4234292 is administered intrathecally every 8 w,TRUE,COMPLETED,A Study to Evaluate the Efficacy and Safety of Intrathecally Administered RO7234292 (RG6042) in Participants With Manifest Huntington's Disease,Huntingtons Disease,RO7234292 Placebo,
NCT03794544,danvatirsen,intravenous,"Durvalumab Durvalumab 1500 mg IV will be administered Q4W (on Week 1 Day 1) until disease progression, unacceptable toxici",TRUE,COMPLETED,Neoadjuvant Durvalumab Alone or in Combination With Novel Agents in Resectable Non-Small Cell Lung Cancer,Resectable; Early-stage; NSCLC,Durvalumab Oleclumab Monalizumab Danvatirsen,
NCT03814187,inclisiran,subcutaneous,"ibits PCSK9 synthesis. Inclisiran sodium 300 milligrams (mg) was administered as a single SC injection on Day 1\*, 90, then every 180 days to Day 990. \*Subjects who received blinde",TRUE,COMPLETED,Trial to Assess the Effect of Long Term Dosing of Inclisiran in Subjects With High CV Risk and Elevated LDL-C,ASCVD; Elevated Cholesterol; Heterozygous Familial Hypercholesterolemia; Homozygous Familial Hypercholesterolemia,Inclisiran Sodium,
NCT03842969,tominersen,intrathecal_lumbar,RO7234292 (RG6042) Intrathecal injection Participants who received open-label RO7234292 Q4W in a preceding study or who,TRUE,COMPLETED,An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of RO7234292 (RG6042) in Huntington's Disease Participants Who Participated in Prior Roche and Genentech,Huntington Disease,RO7234292 (RG6042),
NCT03847909,nedosiran,subcutaneous,DCR-PHXC Multiple fixed doses of DCR-PHXC by subcutaneous (SC) injection Sterile Normal Saline (0.9% NaCl) Sterile Normal Saline (0.9% NaCl) for su,TRUE,COMPLETED,A Study to Evaluate DCR-PHXC in Children and Adults With Primary Hyperoxaluria Type 1 and Primary Hyperoxaluria Type 2,Primary Hyperoxaluria Type 1 (PH1); Primary Hyperoxaluria Type 2 (PH2); Kidney Diseases; Urologic Diseases; Genetic Disease,DCR-PHXC Sterile Normal Saline (0.9% NaCl),
NCT03851705,inclisiran,subcutaneous,who received a dose of 300 milligram (mg) inclisiran sodium for injection administered by SC injection on Day 1 and Day 90. Participants who received a dose of placebos administered,TRUE,COMPLETED,A Study of Inclisiran in Participants With Homozygous Familial Hypercholesterolemia (HoFH),Homozygous Familial Hypercholesterolemia,Inclisiran Sodium for injection Placebo Placebos,
NCT03862807,patisiran,intravenous,Patisiran Patisiran was administered via IV infusion. Participants received patisiran 0.3 milligrams/kilogram (mg/kg) via intravenous,TRUE,COMPLETED,Patisiran in Patients With Hereditary Transthyretin-mediated Amyloidosis (hATTR Amyloidosis) Disease Progression Post-Liver Transplant,"Amyloidosis, Familial; Transthyretin Amyloidosis",Patisiran,
NCT03905694,lumasiran,subcutaneous,Lumasiran Lumasiran will be administered by subcutaneous (SC) injection. Lumasiran will be administered by subcutaneous (SC) injection.,TRUE,COMPLETED,A Study of Lumasiran in Infants and Young Children With Primary Hyperoxaluria Type 1,Primary Hyperoxaluria; Primary Hyperoxaluria Type 1 (PH1),Lumasiran,
NCT03913130,sepofarsen,intravitreal,"QR-110 First treated eye: maintenance dose every 6 months, intravitreal administration Contralateral eye: loading dose followed by maintenance dose, every 6 mont",TRUE,TERMINATED,Extension Study to Study PQ-110-001 (NCT03140969),"Leber Congenital Amaurosis 10; Blindness; Leber Congenital Amaurosis; Vision Disorders; Sensation Disorders; Neurologic Manifestations; Eye Diseases; Eye Diseases, Hereditary; Eye ",QR-110,
NCT03954106,defibrotide,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,A Safety and Efficacy Study of Defibrotide in the Prevention of Chimeric Antigen Receptor-T-cell-associated Neurotoxicity,DLBCL; Neurotoxicity Syndromes,Defibrotide,
